year,securities_with_data,entering_dataset,disappearing_after_year,median_full_series_observations,pct_continuing_to_dataset_end
2000,4,4,0,6593.5,100.0
2001,4,0,0,6593.5,100.0
2002,4,0,0,6593.5,100.0
2003,120,116,0,5822.0,100.0
2004,128,8,0,5812.5,100.0
2005,132,4,0,5804.0,100.0
2006,141,9,0,5804.0,100.0
2007,159,18,0,5804.0,100.0
2008,165,6,0,5804.0,100.0
2009,169,4,0,5804.0,100.0
2010,181,12,0,5804.0,100.0
2011,187,6,0,5804.0,100.0
2012,191,4,0,5804.0,100.0
2013,191,0,0,5804.0,100.0
2014,191,0,0,5804.0,100.0
2015,200,9,0,5804.0,100.0
2016,210,10,0,5804.0,100.0
2017,224,14,0,5804.0,100.0
2018,235,11,0,5590.0,100.0
2019,241,6,0,5505.0,100.0
2020,246,5,0,5430.5,100.0
2021,257,11,0,5249.0,100.0
2022,261,4,0,5142.0,100.0
2023,267,6,0,5038.0,100.0
2024,279,12,0,4909.0,100.0
2025,294,15,0,4802.5,100.0
2026,294,0,0,4802.5,100.0
